M TECH,ODD SEMESTER,CSE,CN,CSE232
M TECH,ODD SEMESTER,CSE,ML,CSE343_CSE543_ECE363_ECE563
M TECH,ODD SEMESTER,CSE,DIP,CSE340_CSE540_ECE350
M TECH,ODD SEMESTER,CSE,FCS,CSE345_CSE545
M TECH,ODD SEMESTER,CSE,AI,CSE643
M TECH,ODD SEMESTER,CSE,MAD,CSE319_CSE519
M TECH,ODD SEMESTER,CSE,NLP,CSE556
M TECH,ODD SEMESTER,CSE,IIA,CSE656
M TECH,ODD SEMESTER,CSE,CG,CSE333_CSE533
M TECH,ODD SEMESTER,CSE,CMP,CSE301_CSE601
M TECH,ODD SEMESTER,CSE,AML,CSE642
M TECH,ODD SEMESTER,CSE,AC,CSE546
M TECH,ODD SEMESTER,CSE,CA,ECE511_CSE511
M TECH,ODD SEMESTER,CSE,AAG,CSE529
M TECH,ODD SEMESTER,CSE,DMG,CSE506
M TECH,ODD SEMESTER,CSE,PRMP,CSE513
M TECH,ODD SEMESTER,CSE,CldC,CSE569
M TECH,ODD SEMESTER,ECE,DCS,ECE340
M TECH,ODD SEMESTER,ECE,DSP,ECE351
M TECH,ODD SEMESTER,ECE,OWC,ECE546
M TECH,ODD SEMESTER,ECE,DVD,ECE314_ECE514
M TECH,ODD SEMESTER,ECE,PRP,ECE501
M TECH,ODD SEMESTER,ECE,CMOS,ECE315_ECE515
M TECH,ODD SEMESTER,ECE,TGI,ECE565
M TECH,ODD SEMESTER,ECE,DPM,ECE560
M TECH,ODD SEMESTER,ECE,QMD,ECE524
M TECH,ODD SEMESTER,ECE,BML,ECE551_CSE515
M TECH,ODD SEMESTER,ECE,ICF,ECE522
M TECH,ODD SEMESTER,ECE,LST,ECE570
M TECH,ODD SEMESTER,ECE,RL,ECE564_CSE564
M TECH,ODD SEMESTER,ECE,QM,ECE525
M TECH,ODD SEMESTER,ECE,IRob,CSE633_ECE670
M TECH,ODD SEMESTER,ECE,SSD,ECE318_ECE518
M TECH,ODD SEMESTER,ECE,WSI,ECE539
M TECH,ODD SEMESTER,HCD,IAG,DES302
M TECH,ODD SEMESTER,HCD,3DAF,DES305
M TECH,ODD SEMESTER,HCD,DAVP,DES514
M TECH,ODD SEMESTER,HCD,DF,DES509
M TECH,ODD SEMESTER,HCD,EFD,DES524
M TECH,ODD SEMESTER,MATHS,TNT,MTH518
M TECH,ODD SEMESTER,MATHS,CmpA,MTH341_MTH541
M TECH,ODD SEMESTER,MATHS,SC,MTH373_MTH573
M TECH,ODD SEMESTER,MATHS,SPA,MTH371
M TECH,ODD SEMESTER,MATHS,ITA,MTH571
M TECH,ODD SEMESTER,MATHS,RA-II,MTH340_MTH540
M TECH,ODD SEMESTER,SSH,KPCC,SSH700
M TECH,ODD SEMESTER,SSH,PT,SSH322_SSH522
M TECH,ODD SEMESTER,SSH,FF,ECO331
M TECH,ODD SEMESTER,SSH,Tcom,COM301A
M TECH,ODD SEMESTER,SSH,ME,ECO301
M TECH,ODD SEMESTER,SSH,EVS,ESC205A
M TECH,ODD SEMESTER,SSH,EK,ENT412
M TECH,ODD SEMESTER,SSH,SSSE,ECO324_ECO524
M TECH,ODD SEMESTER,SSH,TFW,SOC314_SOC512
M TECH,ODD SEMESTER,SSH,GMT,ECO311_ECO511
M TECH,ODD SEMESTER,SSH,NDM,PSY307_PSY507
M TECH,ODD SEMESTER,SSH,ETB,SOC513
M TECH,ODD SEMESTER,SSH,EComm,ENT411
M TECH,ODD SEMESTER,SSH,USPP,SSH362_SSH562
M TECH,ODD SEMESTER,SSH,CT,ECO502
M TECH,ODD SEMESTER,SSH,G&M,SOC308_SOC514
M TECH,ODD SEMESTER,SSH,CMM,PSY308_PSY508
1,SEMESTER 1,CSE,IP,CSE101
1,SEMESTER 1,ECE,DC,ECE111
1,SEMESTER 1,ECE,DC,ECE111
1,SEMESTER 1,HCD,IHCI,DES102
